Années;Type de collectivité;Pourcentage;Indicateurs;Indicateurs de leffort budgétaire des conseils régionaux;Régions;Pays;Codes régions;Objectifs sur budget ventilé;Valeur;Code anciennes régions;Anciennes régions
2013;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Mayotte;;R06;Tous objectifs;0;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Grand Est;;R44;Tous objectifs;8.73;;
2012;Collectivités territoriales;1;Budget R&T;;Grand Est;;R44;Culture et information scientifique (%);7.58;;
2012;Collectivités territoriales;0;Budget R&T;;Grand Est;;R44;Culture et information scientifique;7.87;;
2012;Collectivités territoriales;1;Budget R&T;;Grand Est;;R44;Opérations immobilières (%);65.36;;
2012;Collectivités territoriales;1;Budget R&T;;Grand Est;;R44;Réseaux haut débit (%);1.07;;
2012;Collectivités territoriales;1;Budget R&T;;Grand Est;;R44;Aides aux chercheurs (%);17.6;;
2012;Collectivités territoriales;0;Budget R&T;;Grand Est;;R44;Transferts de technologie;72.37;;
2013;Collectivités territoriales;1;Budget R&T;;Mayotte;;R06;Aides aux chercheurs (%);54.32;;
2013;Collectivités territoriales;0;Budget R&T;;Mayotte;;R06;Equipement de laboratoires;0;;
2013;Collectivités territoriales;0;Budget R&T;;Mayotte;;R06;Opérations immobilières;0;;
2013;Collectivités territoriales;0;Budget R&T;;Mayotte;;R06;Aides aux chercheurs;0.26;;
2013;Collectivités territoriales;1;Budget R&T;;Mayotte;;R06;Budget non ventilé (%);0;;
2013;Conseils régionaux;0;Budget R&T;;Mayotte;;R06;Tous objectifs;0.49;;
2013;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Martinique;;R02;Tous objectifs;0;;
2013;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Mayotte;;R06;Tous objectifs;0;;
2013;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Martinique;;R02;Tous objectifs;0;;
2013;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Martinique;;R02;Tous objectifs;0;;
2012;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Grand Est;;R44;Tous objectifs;5.5;;
2012;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;;R75;Culture et information scientifique (%);1.08;;
2012;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;;R75;Culture et information scientifique;1.36;;
2012;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Grand Est;;R44;Tous objectifs;5.94;;
2012;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Grand Est;;R44;Tous objectifs;8.46;;
2012;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;;R75;Budget non ventilé (%);0.22;;
2012;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;;R75;Réseaux haut débit;0.24;;
2012;Communes et EPCI;0;Budget R&T;;Grand Est;;R44;Tous objectifs;16.91;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Auvergne - Rhône-Alpes;;R84;Tous objectifs;12.89;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Nouvelle-Aquitaine;;R75;Tous objectifs;14.08;;
2012;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Nouvelle-Aquitaine;;R75;Tous objectifs;0.25;;
2012;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;;R75;Tous objectifs;13.66;;
2012;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;;R75;Tous objectifs;17.23;;
2012;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;;R75;Tous objectifs;13.57;;
2012;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;;R75;Tous objectifs;15.66;;
2012;Collectivités territoriales;0;Budget R&T;;Auvergne - Rhône-Alpes;;R84;Budget non ventilé;0;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Bretagne;;R53;Tous objectifs;3.56;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Bretagne;;R53;Tous objectifs;12.63;;
2012;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Bourgogne - Franche-Comté;;R27;Tous objectifs;22.82;;
2012;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Bourgogne - Franche-Comté;;R27;Tous objectifs;1.11;;
2012;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;Bretagne;;R53;Tous objectifs;28.57;;
2012;Collectivités territoriales;0;Budget R&T;;Bretagne;;R53;Projets de la recherche publique;2.61;;
2012;Collectivités territoriales;0;Budget R&T;;Bretagne;;R53;Opérations immobilières;0;;
2012;Collectivités territoriales;0;Budget R&T;;Bretagne;;R53;Aides aux chercheurs;0.92;;
2012;Collectivités territoriales;0;Budget R&T;;Bretagne;;R53;Tous objectifs;72.41;;
2012;Conseils départementaux;0;Budget R&T;;Bretagne;;R53;Tous objectifs;15.99;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Centre-Val de Loire;;R24;Tous objectifs;2.98;;
2012;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;;R24;Culture et information scientifique (%);10.65;;
2012;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Bretagne;;R53;Tous objectifs;27.64;;
2012;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Bretagne;;R53;Tous objectifs;4.42;;
2012;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Bretagne;;R53;Tous objectifs;29.19;;
2012;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;;R24;Transferts de technologie (%);72.23;;
2012;Collectivités territoriales;0;Budget R&T;;Centre-Val de Loire;;R24;Réseaux haut débit;0.67;;
2012;Collectivités territoriales;0;Budget R&T;;Centre-Val de Loire;;R24;Aides aux chercheurs;8.65;;
2012;Collectivités territoriales;0;Budget R&T;;Corse;;R94;Opérations immobilières;45.27;;
2012;Collectivités territoriales;0;Budget R&T;;Corse;;R94;Tous objectifs;6.26;;
2012;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Bourgogne - Franche-Comté;;R27;Tous objectifs;1.8;;
2012;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Bourgogne - Franche-Comté;;R27;Tous objectifs;15.19;;
2012;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Auvergne - Rhône-Alpes;;R84;Tous objectifs;20.83;;
2012;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Auvergne - Rhône-Alpes;;R84;Tous objectifs;21;;
2012;Collectivités territoriales;1;Budget R&T;;Bourgogne - Franche-Comté;;R27;Equipement de laboratoires (%);6.97;;
2012;Collectivités territoriales;1;Budget R&T;;Bourgogne - Franche-Comté;;R27;Réseaux haut débit (%);0.12;;
2012;Collectivités territoriales;0;Budget R&T;;Bourgogne - Franche-Comté;;R27;Transferts de technologie;8.31;;
2012;Collectivités territoriales;0;Budget R&T;;Bourgogne - Franche-Comté;;R27;Aides aux chercheurs;3.57;;
2013;Collectivités territoriales;1;Budget R&T;;Bourgogne - Franche-Comté;;R27;Aides aux chercheurs (%);15.6;;
2013;Collectivités territoriales;1;Budget R&T;;Bourgogne - Franche-Comté;;R27;Budget non ventilé (%);0;;
2013;Collectivités territoriales;0;Budget R&T;;Bourgogne - Franche-Comté;;R27;Réseaux haut débit;0;;
2013;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Guadeloupe;;R01;Tous objectifs;44.81;;
2013;Collectivités territoriales;1;Budget R&T;;Guadeloupe;;R01;Projets de la recherche publique (%);1.07;;
2013;Collectivités territoriales;1;Budget R&T;;Guadeloupe;;R01;Equipement de laboratoires (%);43.75;;
2013;Collectivités territoriales;0;Budget R&T;;Guadeloupe;;R01;Opérations immobilières;0.02;;
2013;Collectivités territoriales;1;Budget R&T;;Guadeloupe;;R01;Réseaux haut débit (%);0;;
2013;Collectivités territoriales;0;Budget R&T;;Guyane;;R03;Opérations immobilières;0;;
2013;Collectivités territoriales;1;Budget R&T;;Guyane;;R03;Budget non ventilé (%);0;;
2013;Collectivités territoriales;0;Budget R&T;;Guyane;;R03;Réseaux haut débit;0;;
2013;Collectivités territoriales;0;Budget R&T;;Guyane;;R03;Budget non ventilé;0;;
2013;Communes et EPCI;0;Budget R&T;;Guadeloupe;;R01;Tous objectifs;0;;
2013;Collectivités territoriales;0;Budget R&T;;Martinique;;R02;Transferts de technologie;2.78;;
2013;Collectivités territoriales;0;Budget R&T;;Martinique;;R02;Aides aux chercheurs;0.87;;
2013;Conseils régionaux;0;Budget R&T;;Martinique;;R02;Tous objectifs;3.09;;
2013;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Martinique;;R02;Tous objectifs;0.4;;
2013;Collectivités territoriales;1;Budget R&T;;Mayotte;;R06;Opérations immobilières (%);0;;
2013;Collectivités territoriales;1;Budget R&T;;Mayotte;;R06;Transferts de technologie (%);0;;
2013;Collectivités territoriales;0;Budget R&T;;Mayotte;;R06;Tous objectifs;0.49;;
2013;Conseils départementaux;0;Budget R&T;;Mayotte;;R06;Tous objectifs;0;;
2013;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Martinique;;R02;Tous objectifs;0;;
2013;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Mayotte;;R06;Tous objectifs;0;;
2013;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Mayotte;;R06;Tous objectifs;0;;
2013;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Martinique;;R02;Tous objectifs;0;;
2013;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Martinique;;R02;Tous objectifs;0;;
2013;Collectivités territoriales;1;Budget R&T;;Polynésie Française (4);;A41;Equipement de laboratoires (%);1.64;;
2013;Collectivités territoriales;0;Budget R&T;;Nouvelle-Calédonie (5);;A40;Equipement de laboratoires;0.07;;
2013;Collectivités territoriales;0;Budget R&T;;Polynésie Française (4);;A41;Aides aux chercheurs;0.25;;
2013;Collectivités territoriales;1;Budget R&T;;;France;XXX;Equipement de laboratoires (%);8.17;;
2013;Collectivités territoriales;1;Budget R&T;;La Réunion;;R04;Transferts de technologie (%);48.43;;
2013;Conseils régionaux;0;Budget R&T;;Polynésie Française (4);;A41;Tous objectifs;3.78;;
2013;Collectivités territoriales;0;Budget R&T;;La Réunion;;R04;Budget non ventilé;0;;
2013;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;La Réunion;;R04;Tous objectifs;0;;
2013;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Calédonie (5);;A40;Tous objectifs;0;;
2013;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Calédonie (5);;A40;Tous objectifs;0;;
2013;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);;France;XXX;Tous objectifs;2.64;;
2013;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;;France;XXX;Tous objectifs;315.24;;
2013;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;;France;XXX;Tous objectifs;25.18;;
2013;Collectivités territoriales;1;Budget R&T;;;France;XXX;Culture et information scientifique (%);2.68;;
2013;Collectivités territoriales;0;Budget R&T;;;France;XXX;Projets de la recherche publique;148.66;;
2013;Collectivités territoriales;1;Budget R&T;;;France;XXX;Budget non ventilé (%);0.03;;
2013;Collectivités territoriales;0;Budget R&T;;;France;XXX;Budget non ventilé;0.31;;
2013;Communes et EPCI;0;Budget R&T;;;France;XXX;Tous objectifs;246.59;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Grand Est;;R44;Tous objectifs;3.18;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Grand Est;;R44;Tous objectifs;12.9;;
2013;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;;France;XXX;Tous objectifs;111.48;;
2013;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;;France;XXX;Tous objectifs;55.95;;
2012;Collectivités territoriales;1;Budget R&T;;Grand Est;;R44;Equipement de laboratoires (%);16.89;;
2012;Collectivités territoriales;0;Budget R&T;;Grand Est;;R44;Réseaux haut débit;1.11;;
2012;Collectivités territoriales;1;Budget R&T;;Grand Est;;R44;Budget non ventilé (%);0;;
